ID_Code,Group,Age,Gender
101,1,24,2
102,1,20,2
103,1,28,1
104,1,27,2
105,1,22,1
106,1,22,2
107,1,22,2
108,1,25,1
109,1,23,1
110,1,27,1
111,1,20,1
112,1,23,2
113,1,25,1
114,1,21,2
115,1,20,1
116,1,20,2
117,1,21,2
118,1,28,1
119,1,24,1
120,1,20,2
121,1,29,2
122,1,25,1
123,1,33,1
124,1,33,2
125,1,21,2
126,1,18,1
127,1,26,2
128,1,20,1
129,1,29,1
130,1,25,2
131,1,21,1
132,1,36,1
133,1,22,2
134,1,21,1
135,1,22,2
136,1,29,2
137,1,20,1
138,1,26,1
139,1,22,2
140,1,27,2
141,1,20,2
142,1,22,2
143,1,24,1
144,1,20,2
145,1,21,1
146,1,20,1
147,1,24,2
148,1,22,2
149,1,25,1
150,1,24,2
151,1,22,1
152,1,36,1
153,1,20,1
154,1,21,2
155,1,20,2
156,1,20,1
157,1,21,2
158,1,24,2
159,1,20,1
160,1,20,2
161,1,22,2
162,1,20,1
163,1,21,2
164,1,22,2
165,1,20,1
166,1,20,2
167,1,20,2
168,1,20,2
169,1,20,2
170,1,35,1
171,1,20,2
172,1,27,2
173,1,20,2
174,1,22,2
175,1,20,2
176,1,29,2
177,1,20,2
178,1,21,1
179,1,22,1
180,1,22,2
201,2,68,1
202,2,77,1
203,2,71,2
204,2,67,1
205,2,77,1
206,2,70,2
207,2,73,2
208,2,70,2
209,2,69,2
210,2,70,1
211,2,70,2
212,2,70,1
213,2,64,1
214,2,68,2
215,2,60,2
216,2,71,2
217,2,65,1
218,2,65,2
219,2,64,1
220,2,71,2
221,2,76,1
222,2,64,1
223,2,77,1
224,2,80,2
225,2,76,1
226,2,77,2
227,2,71,1
228,2,74,2
229,2,78,2
230,2,72,1
231,2,70,2
232,2,79,2
233,2,65,2
234,2,67,1
235,2,62,1
236,2,62,2
237,2,73,2
238,2,66,2
239,2,63,2
240,2,62,2
241,2,70,2
242,2,74,2
243,2,67,2
244,2,62,2
245,2,63,2
246,2,67,2
247,2,62,1
248,2,72,1
249,2,64,1
250,2,78,2
251,2,74,2
252,2,76,1
253,2,79,1
254,2,71,1
255,2,71,1
256,2,62,1
257,2,71,1
258,2,70,1
259,2,71,1
260,2,77,1
261,2,63,1
262,2,78,1
263,2,68,1
264,2,69,2
265,2,70,2
266,2,69,1
267,2,60,1
268,2,70,2
269,2,78,1
270,2,62,1
271,2,68,2
272,2,74,2
273,2,,
274,2,68,2
275,2,71,1
276,2,71,1
277,2,79,2
278,2,66,2
279,2,67,2
280,2,75,2
299,2,75,2